"id","resolution_date","source","Type","resolved_to","resolved","SPF_forecast","SPF_bs","Pub_forecast","Pub_bs","question","gpt_score","sonnet_score","deepseek_score","mean_z","LLM_typical_binary","LLM_typical_3"
"TPkEjiNb1wVCIGFnPcDD","2025-01-10","manifold","Market",1,TRUE,0.945,0.00302500000000001,0.8,0.04,"Will the average global temperature in 2024 exceed 2023?",10,10,10,0.759940358239093,"Typical","Typical"
"KCFbp1TH0RYN4j5zYdmh","2024-07-30","manifold","Market",1,TRUE,0.25,0.5625,0.5,0.25,"Will any event of the Paris 2024 Olympic Games be postponed or cancelled due to the water quality of the Seine?",2,7,8,-0.824002417880209,"Atypical","Atypical"
"lFx5LHHUTgHnQPquiOMs","2024-11-21","manifold","Market",0,TRUE,0.01,1e-04,0.08,0.0064,"Will Rafael Nadal win another Grand Slam before his retirement?",8,7,8,-0.114262141914311,"Atypical","Borderline"
"iPG19DGNrWEkbUBjfk6L","2024-12-13","manifold","Market",0,TRUE,0.4,0.16,0.27,0.0729,"Will Ding Liren repeat as World Chess Champion?",4,8,7,-0.547576095240948,"Atypical","Atypical"
"2ZLAoe3EAFVhcFAXXfPp","2025-01-01","manifold","Market",0,TRUE,0.01,1e-04,0.1,0.01,"Will Lionel Messi retire before the end of 2024?",6,8,8,-0.207379260009738,"Atypical","Borderline"
"taYZcNp99aWqZLI2nq9v","2024-12-31","manifold","Market",0,TRUE,0.01,1e-04,0.1,0.01,"Will Rational Animations' video about Manifold Markets reach 200k views by the end of 2024?",9,3,5,-0.880674221220551,"Atypical","Atypical"
"0yVJeShTMcm0FA8UrcCL","2025-01-01","manifold","Market",0,TRUE,0.55,0.3025,0.6,0.36,"Will over 70% of Manifold users think that Elon Musk does not deserve 100 billion dollars?",6,2,5,-1.37900733309671,"Atypical","Atypical"
"VB1RhUVlnNfhclAh4LvR","2024-08-11","manifold","Market",1,TRUE,0.88,0.0144,0.83,0.0289,"Will the U.S. win the gold medal in the Men's Basketball at the 2024 Summer Olympics in Paris?",10,10,8,0.552706871753939,"Typical","Typical"
"0m2HGw8Pd4ZTIgga0Pzv","2024-12-08","manifold","Market",0,TRUE,0.01,1e-04,0.15,0.0225,"[2024 Formula 1 Season] Will Sergio Perez finish 2nd or higher in the Drivers Championship?",1,9,8,-0.655366516088113,"Atypical","Atypical"
"HFuD5HPpd2ZR9gLk6nhj","2024-12-31","manifold","Market",0,TRUE,0.01,1e-04,0.05,0.0025,"Will Doors of Stone, the third book of the Kingkiller Chronicle by Patrick Rothfuss, be released before 2025?",8,8,5,-0.281649397748837,"Atypical","Borderline"
"iokMHn6kkmntt9E0aHHz","2025-01-01","manifold","Market",0,TRUE,0.71,0.5041,0.75,0.5625,"Will Taylor Swift release Reputation (Taylor's Version) before the end of 2024?",2,7,5,-1.13485264760794,"Atypical","Atypical"
