id,resolution_date,source,Type,resolved_to,SPF_forecast,Pub_forecast,SPF_bs,Pub_bs,gpt4T_0S,gpt4T_Reas,gpt4T_News,gpt4T_spf1,gpt4T_spf2,gpt4T_spf3,BS gpt4T_0S,BS gpt4T_Reas,BS gpt4T_News,BS gpt4T_spf1,BS gpt4T_spf2,BS gpt4T_spf3,gpt4o_0S,gpt4o_Reas,gpt4o_News,gpt4o_spf1,gpt4o_spf2,gpt4o_spf3,BS gpt4o_0S,BS gpt4o_Reas,BS gpt4o_News,BS gpt4o_spf1,BS gpt4o_spf2,BS gpt4o_spf3,gpt3.5_0S,gpt3.5_Reas,BS gpt3.5_0S,BS gpt3.5_Reas,gpt4_0S,gpt4_Reas,BS gpt4_0S,BS gpt4_Reas,C2.1_0S,C2.1_Reas,C2.1_News,C2.1_spf1,C2.1_spf2,C2.1_spf3,BS C2.1_0S,BS C2.1_Reas,BS C2.1_News,BS C2.1_spf1,BS C2.1_spf2,BS C2.1_spf3,C3H_0S,C3H_Reas,C3H_News,C3H_spf1,C3H_spf2,C3H_spf3,BS C3H_0S,BS C3H_Reas,BS C3H_News,BS C3H_spf1,BS C3H_spf2,BS C3H_spf3,C3O_0S,C3O_Reas,C3O_News,C3O_spf1,C3O_spf2,C3O_spf3,BS C3O_0S,BS C3O_Reas,BS C3O_News,BS C3O_spf1,BS C3O_spf2,BS C3O_spf3,C3.5S_0S,C3.5S_Reas,C3.5S_News,C3.5S_spf1,C3.5S_spf2,C3.5S_spf3,BS C3.5S_0S,BS C3.5S_Reas,BS C3.5S_News,BS C3.5S_spf1,BS C3.5S_spf2,BS C3.5S_spf3,G1.5f_0S,G1.5f_Reas,G1.5f_News,G1.5f_spf1,G1.5f_spf2,G1.5f_spf3,BS G1.5f_0S,BS G1.5f_Reas,BS G1.5f_News,BS G1.5f_spf1,BS G1.5f_spf2,BS G1.5f_spf3,G1.5P_0S,G1.5P_Reas,G1.5P_News,G1.5P_spf1,G1.5P_spf2,G1.5P_spf3,BS G1.5P_0S,BS G1.5P_Reas,BS G1.5P_News,BS G1.5P_spf1,BS G1.5P_spf2,BS G1.5P_spf3,L2.70b_0S,L2.70b_Reas,BS L2.70b_0S,BS L2.70b_Reas,L3.8b_0S,L3.8b_Reas,BS L3.8b_0S,BS L3.8b_Reas,L3.70b_0S,L3.70b_Reas,BS L3.70b_0S,BS L3.70b_Reas,ML_0S,ML_Reas,ML_News,ML_spf1,ML_spf2,ML_spf3,BS ML_0S,BS ML_Reas,BS ML_News,BS ML_spf1,BS ML_spf2,BS ML_spf3,M22B_0S,M22B_Reas,M22B_News,M22B_spf1,M22B_spf2,M22B_spf3,BS M22B_0S,BS M22B_Reas,BS M22B_News,BS M22B_spf1,BS M22B_spf2,BS M22B_spf3,M7B_0S,M7B_Reas,M7B_News,M7B_spf1,M7B_spf2,M7B_spf3,BS M7B_0S,BS M7B_Reas,BS M7B_News,BS M7B_spf1,BS M7B_spf2,BS M7B_spf3
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-07-28,acled,Data,0.0,0.0,0.05,0.0,0.0025,0.05,0.05,0.15,0.125,0.07,0.5,0.0025,0.0025,0.0225,0.015625,0.0049,0.25,0.05,0.01,0.05,0.0333,0.01,0.03,0.0025,0.0001,0.0025,0.00110889,0.0001,0.0009,0.75,0.5,0.5625,0.25,0.01,0.1,0.0001,0.01,0.01,0.05,0.5,0.5,0.1,0.05,0.0001,0.0025,0.25,0.25,0.01,0.0025,0.65,0.25,0.3,0.14,0.4,0.3,0.4225,0.0625,0.09,0.0196,0.16,0.09,0.01,0.05,0.05,0.01,0.01,0.03,0.0001,0.0025,0.0025,0.0001,0.0001,0.0009,0.01,0.001,0.015,0.0032,0.01,0.005,0.0001,1e-06,0.000225,1.024e-05,0.0001,2.5e-05,0.01,0.02,0.1,0.01,0.02,0.05,0.0001,0.0004,0.01,0.0001,0.0004,0.0025,0.01,0.01,0.05,0.002,0.001,0.12,0.0001,0.0001,0.0025,4e-06,1e-06,0.0144,0.05,0.2,0.0025,0.04,0.0001,0.35,1e-08,0.1224999999999999,0.01,0.2,0.0001,0.04,0.01,0.1,0.2,0.04,0.01,0.05,0.0001,0.01,0.04,0.0016,0.0001,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025,0.01,0.0001,0.0025,0.01,0.05,0.15,0.15,0.2,0.01,0.5,0.0025,0.0225,0.0225,0.04,0.0001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-08-20,acled,Data,0.0,0.0,0.07,0.0,0.0049,0.05,0.05,0.15,0.125,0.07,0.5,0.0025,0.0025,0.0225,0.015625,0.0049,0.25,0.05,0.01,0.05,0.0333,0.01,0.03,0.0025,0.0001,0.0025,0.00110889,0.0001,0.0009,0.75,0.5,0.5625,0.25,0.01,0.1,0.0001,0.01,0.01,0.05,0.5,0.5,0.1,0.05,0.0001,0.0025,0.25,0.25,0.01,0.0025,0.7,0.25,0.3,0.14,0.4,0.3,0.4899999999999999,0.0625,0.09,0.0196,0.16,0.09,0.01,0.05,0.05,0.01,0.01,0.03,0.0001,0.0025,0.0025,0.0001,0.0001,0.0009,0.01,0.001,0.015,0.0032,0.01,0.005,0.0001,1e-06,0.000225,1.024e-05,0.0001,2.5e-05,0.01,0.02,0.1,0.01,0.02,0.05,0.0001,0.0004,0.01,0.0001,0.0004,0.0025,0.01,0.01,0.04,0.002,0.001,0.12,0.0001,0.0001,0.0016,4e-06,1e-06,0.0144,0.05,0.2,0.0025,0.04,0.0001,0.35,1e-08,0.1224999999999999,0.01,0.2,0.0001,0.04,0.01,0.1,0.2,0.04,0.01,0.05,0.0001,0.01,0.04,0.0016,0.0001,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025,0.01,0.0001,0.0025,0.01,0.05,0.15,0.15,0.2,0.01,0.5,0.0025,0.0225,0.0225,0.04,0.0001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-10-19,acled,Data,0.0,0.0,0.08,0.0,0.0064,0.05,0.05,0.15,0.125,0.07,0.5,0.0025,0.0025,0.0225,0.015625,0.0049,0.25,0.05,0.01,0.05,0.0333,0.01,0.03,0.0025,0.0001,0.0025,0.00110889,0.0001,0.0009,0.75,0.5,0.5625,0.25,0.01,0.1,0.0001,0.01,0.01,0.05,0.5,0.5,0.1,0.05,0.0001,0.0025,0.25,0.25,0.01,0.0025,0.6,0.25,0.3,0.14,0.4,0.3,0.36,0.0625,0.09,0.0196,0.16,0.09,0.01,0.05,0.05,0.01,0.01,0.03,0.0001,0.0025,0.0025,0.0001,0.0001,0.0009,0.01,0.001,0.015,0.0032,0.01,0.005,0.0001,1e-06,0.000225,1.024e-05,0.0001,2.5e-05,0.01,0.03,0.1,0.01,0.02,0.05,0.0001,0.0009,0.01,0.0001,0.0004,0.0025,0.01,0.01,0.04,0.002,0.001,0.12,0.0001,0.0001,0.0016,4e-06,1e-06,0.0144,0.05,0.2,0.0025,0.04,0.0001,0.35,1e-08,0.1224999999999999,0.01,0.2,0.0001,0.04,0.01,0.1,0.2,0.04,0.01,0.05,0.0001,0.01,0.04,0.0016,0.0001,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025,0.01,0.0001,0.0025,0.01,0.05,0.15,0.15,0.2,0.01,0.5,0.0025,0.0225,0.0225,0.04,0.0001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-01-17,acled,Data,0.0,0.0,0.08,0.0,0.0064,0.05,0.05,0.15,0.125,0.07,0.5,0.0025,0.0025,0.0225,0.015625,0.0049,0.25,0.05,0.01,0.05,0.0333,0.01,0.03,0.0025,0.0001,0.0025,0.00110889,0.0001,0.0009,0.75,0.5,0.5625,0.25,0.01,0.1,0.0001,0.01,0.01,0.05,0.5,0.5,0.1,0.05,0.0001,0.0025,0.25,0.25,0.01,0.0025,0.75,0.25,0.3,0.14,0.4,0.3,0.5625,0.0625,0.09,0.0196,0.16,0.09,0.01,0.05,0.05,0.01,0.01,0.03,0.0001,0.0025,0.0025,0.0001,0.0001,0.0009,0.01,0.002,0.02,0.0032,0.01,0.005,0.0001,4e-06,0.0004,1.024e-05,0.0001,2.5e-05,0.01,0.04,0.1,0.01,0.02,0.05,0.0001,0.0016,0.01,0.0001,0.0004,0.0025,0.01,0.02,0.03,0.002,0.001,0.12,0.0001,0.0004,0.0009,4e-06,1e-06,0.0144,0.05,0.2,0.0025,0.04,0.0001,0.35,1e-08,0.1224999999999999,0.01,0.2,0.0001,0.04,0.01,0.1,0.2,0.04,0.01,0.05,0.0001,0.01,0.04,0.0016,0.0001,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025,0.01,0.0001,0.0025,0.01,0.05,0.15,0.15,0.2,0.01,0.5,0.0025,0.0225,0.0225,0.04,0.0001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-07-21,acled,Data,0.0,0.0,0.09,0.0,0.0081,0.05,0.05,0.15,0.125,0.07,0.5,0.0025,0.0025,0.0225,0.015625,0.0049,0.25,0.05,0.01,0.05,0.0333,0.01,0.03,0.0025,0.0001,0.0025,0.00110889,0.0001,0.0009,0.75,0.5,0.5625,0.25,0.01,0.1,0.0001,0.01,0.01,0.05,0.5,0.5,0.1,0.05,0.0001,0.0025,0.25,0.25,0.01,0.0025,0.8,0.25,0.3,0.14,0.4,0.3,0.6400000000000001,0.0625,0.09,0.0196,0.16,0.09,0.01,0.05,0.05,0.01,0.01,0.03,0.0001,0.0025,0.0025,0.0001,0.0001,0.0009,0.01,0.002,0.02,0.0032,0.01,0.006,0.0001,4e-06,0.0004,1.024e-05,0.0001,3.6e-05,0.01,0.05,0.1,0.01,0.02,0.05,0.0001,0.0025,0.01,0.0001,0.0004,0.0025,0.01,0.02,0.03,0.002,0.001,0.12,0.0001,0.0004,0.0009,4e-06,1e-06,0.0144,0.05,0.2,0.0025,0.04,0.0001,0.35,1e-08,0.1224999999999999,0.01,0.2,0.0001,0.04,0.01,0.1,0.2,0.04,0.01,0.05,0.0001,0.01,0.04,0.0016,0.0001,0.0025,0.01,0.05,0.1,0.01,0.05,0.1,0.0001,0.0025,0.01,0.0001,0.0025,0.01,0.05,0.15,0.15,0.2,0.01,0.5,0.0025,0.0225,0.0225,0.04,0.0001,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-07-28,acled,Data,0.0,0.055,0.1,0.003025,0.01,0.35,0.5,0.55,0.565,0.5,0.6,0.1224999999999999,0.25,0.3025,0.3192249999999999,0.25,0.36,0.2,0.3,0.6,0.35,0.75,0.5,0.04,0.09,0.36,0.1224999999999999,0.5625,0.25,0.2,0.55,0.04,0.3025,0.2,0.5,0.04,0.25,0.5,0.5,0.6,0.5,0.7,0.5,0.25,0.25,0.36,0.25,0.4899999999999999,0.25,0.2,0.6,0.7,0.58,0.6,0.5,0.04,0.36,0.4899999999999999,0.3364,0.36,0.25,0.5,0.65,0.65,0.75,0.75,0.5,0.25,0.4225,0.4225,0.5625,0.5625,0.25,0.35,0.35,0.75,0.55,0.65,0.78,0.1224999999999999,0.1224999999999999,0.5625,0.3025,0.4225,0.6084,0.5,0.2,0.35,0.8,0.7,0.5,0.25,0.04,0.1224999999999999,0.6400000000000001,0.4899999999999999,0.25,0.6,0.55,0.65,0.4,0.7,0.8,0.36,0.3025,0.4225,0.16,0.4899999999999999,0.6400000000000001,0.342,0.375,0.116964,0.140625,0.512,0.65,0.262144,0.4225,0.55,0.5,0.3025,0.25,0.5,0.6,0.4,0.2,0.6,0.65,0.25,0.36,0.16,0.04,0.36,0.4225,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.04,0.16,0.3248999999999999,0.4225,0.25,0.12,0.6,0.6,0.65,0.625,0.6,0.0144,0.36,0.36,0.4225,0.390625,0.36
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-08-20,acled,Data,1.0,0.155,0.1,0.7140249999999999,0.81,0.35,0.5,0.55,0.565,0.5,0.6,0.4225,0.25,0.2024999999999999,0.189225,0.25,0.16,0.25,0.3,0.65,0.35,0.75,0.5,0.5625,0.4899999999999999,0.1224999999999999,0.4225,0.0625,0.25,0.2,0.55,0.6400000000000001,0.2024999999999999,0.2,0.5,0.6400000000000001,0.25,0.5,0.5,0.4,0.5,0.6,0.5,0.25,0.25,0.36,0.25,0.16,0.25,0.25,0.6,0.7,0.58,0.6,0.5,0.5625,0.16,0.09,0.1764,0.16,0.25,0.5,0.6,0.65,0.7,0.7,0.5,0.25,0.16,0.1224999999999999,0.09,0.09,0.25,0.35,0.35,0.73,0.57,0.67,0.77,0.4225,0.4225,0.0729,0.1849,0.1088999999999999,0.0528999999999999,0.5,0.2,0.4,0.8,0.75,0.5,0.25,0.6400000000000001,0.36,0.0399999999999999,0.0625,0.25,0.55,0.55,0.7,0.45,0.7,0.8,0.2024999999999999,0.2024999999999999,0.09,0.3025,0.09,0.0399999999999999,0.342,0.4,0.4329639999999999,0.36,0.512,0.65,0.238144,0.1224999999999999,0.55,0.47,0.2024999999999999,0.2809,0.5,0.6,0.4,0.25,0.6,0.7,0.25,0.16,0.36,0.5625,0.16,0.09,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.1849,0.1224999999999999,0.25,0.11,0.6,0.6,0.7,0.625,0.6,0.7921,0.16,0.16,0.09,0.140625,0.16
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-10-19,acled,Data,1.0,0.16,0.15,0.7055999999999999,0.7224999999999999,0.35,0.5,0.55,0.565,0.5,0.6,0.4225,0.25,0.2024999999999999,0.189225,0.25,0.16,0.3,0.3,0.7,0.35,0.75,0.5,0.4899999999999999,0.4899999999999999,0.09,0.4225,0.0625,0.25,0.2,0.55,0.6400000000000001,0.2024999999999999,0.25,0.5,0.5625,0.25,0.5,0.5,0.7,0.5,0.5,0.5,0.25,0.25,0.09,0.25,0.25,0.25,0.3,0.6,0.7,0.58,0.6,0.5,0.4899999999999999,0.16,0.09,0.1764,0.16,0.25,0.5,0.55,0.7,0.65,0.65,0.5,0.25,0.2024999999999999,0.09,0.1224999999999999,0.1224999999999999,0.25,0.35,0.4,0.7,0.59,0.7,0.76,0.4225,0.36,0.09,0.1681,0.09,0.0576,0.5,0.2,0.45,0.8,0.8,0.5,0.25,0.6400000000000001,0.3025,0.0399999999999999,0.0399999999999999,0.25,0.5,0.55,0.75,0.55,0.8,0.85,0.25,0.2024999999999999,0.0625,0.2024999999999999,0.0399999999999999,0.0225,0.342,0.425,0.4329639999999999,0.3306249999999999,0.512,0.65,0.238144,0.1224999999999999,0.55,0.45,0.2024999999999999,0.3025,0.5,0.6,0.4,0.3,0.6,0.75,0.25,0.16,0.36,0.4899999999999999,0.16,0.0625,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.1849,0.1224999999999999,0.25,0.1,0.6,0.6,0.725,0.625,0.6,0.81,0.16,0.16,0.075625,0.140625,0.16
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-01-17,acled,Data,1.0,0.35,0.18,0.4225,0.6724000000000001,0.35,0.5,0.55,0.565,0.5,0.6,0.4225,0.25,0.2024999999999999,0.189225,0.25,0.16,0.35,0.4,0.6,0.35,0.75,0.5,0.4225,0.36,0.16,0.4225,0.0625,0.25,0.2,0.55,0.6400000000000001,0.2024999999999999,0.2,0.5,0.6400000000000001,0.25,0.5,0.5,0.5,0.5,0.4,0.5,0.25,0.25,0.25,0.25,0.36,0.25,0.35,0.6,0.7,0.58,0.6,0.5,0.4225,0.16,0.09,0.1764,0.16,0.25,0.5,0.5,0.6,0.6,0.6,0.5,0.25,0.25,0.16,0.16,0.16,0.25,0.35,0.45,0.65,0.61,0.72,0.75,0.4225,0.3025,0.1224999999999999,0.1521,0.0784,0.0625,0.5,0.2,0.5,0.8,0.85,0.5,0.25,0.6400000000000001,0.25,0.0399999999999999,0.0225,0.25,0.5,0.6,0.55,0.45,0.75,0.83,0.25,0.16,0.2024999999999999,0.3025,0.0625,0.0289,0.342,0.45,0.4329639999999999,0.3025,0.512,0.65,0.238144,0.1224999999999999,0.55,0.43,0.2024999999999999,0.3249000000000001,0.5,0.6,0.4,0.35,0.6,0.8,0.25,0.16,0.36,0.4225,0.16,0.0399999999999999,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.6400000000000001,0.36,0.1849,0.1224999999999999,0.25,0.09,0.6,0.6,0.75,0.625,0.6,0.8281000000000001,0.16,0.16,0.0625,0.140625,0.16
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-07-21,acled,Data,0.0,0.16,0.16,0.0256,0.0256,0.35,0.5,0.55,0.565,0.5,0.6,0.1224999999999999,0.25,0.3025,0.3192249999999999,0.25,0.36,0.4,0.4,0.55,0.35,0.75,0.5,0.16,0.16,0.3025,0.1224999999999999,0.5625,0.25,0.2,0.55,0.04,0.3025,0.2,0.5,0.04,0.25,0.5,0.5,0.6,0.5,0.3,0.5,0.25,0.25,0.36,0.25,0.09,0.25,0.4,0.6,0.7,0.58,0.6,0.5,0.16,0.36,0.4899999999999999,0.3364,0.36,0.25,0.5,0.45,0.55,0.55,0.55,0.5,0.25,0.2025,0.3025,0.3025,0.3025,0.25,0.35,0.5,0.62,0.63,0.75,0.74,0.1224999999999999,0.25,0.3844,0.3969,0.5625,0.5476,0.5,0.2,0.55,0.8,0.9,0.5,0.25,0.04,0.3025,0.6400000000000001,0.81,0.25,0.5,0.6,0.45,0.4,0.7,0.82,0.25,0.36,0.2025,0.16,0.4899999999999999,0.6723999999999999,0.342,0.475,0.116964,0.225625,0.512,0.65,0.262144,0.4225,0.55,0.4,0.3025,0.16,0.5,0.6,0.4,0.4,0.6,0.85,0.25,0.36,0.16,0.16,0.36,0.7224999999999999,0.5,0.2,0.4,0.57,0.65,0.5,0.25,0.04,0.16,0.3248999999999999,0.4225,0.25,0.08,0.6,0.6,0.8,0.625,0.6,0.0064,0.36,0.36,0.6400000000000001,0.390625,0.36
