id,resolution_date,source,Type,resolved_to,resolved,SPF_forecast,SPF_bs,Pub_forecast,Pub_bs,gpt4T_0S,gpt4T_Reas,gpt4T_News,gpt4T_spf1,gpt4T_spf2,gpt4T_spf3,BS gpt4T_0S,BS gpt4T_Reas,BS gpt4T_News,BS gpt4T_spf1,BS gpt4T_spf2,BS gpt4T_spf3
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-07-28,acled,Data,0.0,True,0.0,0.0,0.05,0.0025,0.05,0.05,0.15,0.125,0.07,0.5,0.0025000000000000005,0.0025000000000000005,0.0225,0.015625,0.004900000000000001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-08-20,acled,Data,0.0,True,0.0,0.0,0.07,0.0049,0.05,0.05,0.15,0.125,0.07,0.5,0.0025000000000000005,0.0025000000000000005,0.0225,0.015625,0.004900000000000001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2024-10-19,acled,Data,0.0,True,0.0,0.0,0.08,0.0064,0.05,0.05,0.15,0.125,0.07,0.5,0.0025000000000000005,0.0025000000000000005,0.0225,0.015625,0.004900000000000001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-01-17,acled,Data,0.0,True,0.0,0.0,0.08,0.0064,0.05,0.05,0.15,0.125,0.07,0.5,0.0025000000000000005,0.0025000000000000005,0.0225,0.015625,0.004900000000000001,0.25
45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6,2025-07-21,acled,Data,0.0,True,0.0,0.0,0.09,0.0081,0.05,0.05,0.15,0.125,0.07,0.5,0.0025000000000000005,0.0025000000000000005,0.0225,0.015625,0.004900000000000001,0.25
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-07-28,acled,Data,0.0,True,0.055,0.003025,0.1,0.01,0.35,0.5,0.55,0.565,0.5,0.6,0.12249999999999998,0.25,0.30250000000000005,0.3192249999999999,0.25,0.36
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-08-20,acled,Data,1.0,True,0.155,0.7140249999999999,0.1,0.81,0.35,0.5,0.55,0.565,0.5,0.6,0.42250000000000004,0.25,0.20249999999999996,0.18922500000000006,0.25,0.16000000000000003
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2024-10-19,acled,Data,1.0,True,0.16,0.7055999999999999,0.15,0.7224999999999999,0.35,0.5,0.55,0.565,0.5,0.6,0.42250000000000004,0.25,0.20249999999999996,0.18922500000000006,0.25,0.16000000000000003
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-01-17,acled,Data,1.0,True,0.35,0.4225,0.18,0.6724000000000001,0.35,0.5,0.55,0.565,0.5,0.6,0.42250000000000004,0.25,0.20249999999999996,0.18922500000000006,0.25,0.16000000000000003
5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09,2025-07-21,acled,Data,0.0,True,0.16,0.0256,0.16,0.0256,0.35,0.5,0.55,0.565,0.5,0.6,0.12249999999999998,0.25,0.30250000000000005,0.3192249999999999,0.25,0.36
